"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"Datasheet Approval ","Datasheet","workflow_state",1,0,0,"be6a8d8bf2","Saved","KMS Uploader","0","","",0,"","","f0009bee72","Saved","Send of Approval","Pending","KMS Uploader",1,""
"","","","","","","34e5f4a2e3","Pending","KMS Admin","0","","",0,"","","369771fb52","Pending","Approve","Approved","KMS Admin",1,""
"","","","","","","8c71654151","Approved","KMS Admin","1","","",0,"","","2e4834a6ea","Pending","Reject","Rejected","KMS Admin",1,""
"","","","","","","e6412b3bde","Rejected","KMS Admin","0","","",0,"","","","","","","","",""
