"Agency Name"
"Modulus"
"Crownit"
"Nepa"
"Quantum"
"Marketxcel"
"Karvy"
"Kantar World Panel"
"Pixights"
"Ipsos"
"Third Eye"
"Metrix Labs"
"Nielsen"
"Kantar"
"IQVIA"
"Chatterpe"
