"project_type"
"Indepth Interviews"
"Bases Idea Screener"
"Narramatic/Animatic Testing Qualitative"
"LINK"
"Pricing Study"
"LinkQ"
"Pack Test Qualitative"
"Pack Test quantitative"
"U&A Qualitative"
"U&A Quantitative"
"Concept Test Qualitative"
"Product Test Qualitative"
"Bases Snapshot"
"Bases II"
"Concept Test Quantitative"
"Product Test Quantitative"
"Medical/Expert Interviews"
"Brand Dipsticks"
"FGDs"
